date,cases,deaths
2014-03-23T00:00:00.000Z,49,29
2014-03-24T00:00:00.000Z,86,59
2014-03-27T00:00:00.000Z,111,72
2014-03-30T00:00:00.000Z,114,72
2014-04-02T00:00:00.000Z,129,85
2014-04-05T00:00:00.000Z,161,93
2014-04-07T00:00:00.000Z,172,105
2014-04-10T00:00:00.000Z,183,111
2014-04-17T00:00:00.000Z,236,135
2014-05-06T00:00:00.000Z,270,168
2014-05-09T00:00:00.000Z,275,171
2014-05-15T00:00:00.000Z,287,184
2014-05-28T00:00:00.000Z,324,204
2014-05-30T00:00:00.000Z,368,212
2014-06-04T00:00:00.000Z,434,227
2014-06-06T00:00:00.000Z,442,234
2014-06-10T00:00:00.000Z,467,246
2014-06-18T00:00:00.000Z,528,337
2014-06-24T00:00:00.000Z,599,338
2014-07-01T00:00:00.000Z,759,467
2014-07-03T00:00:00.000Z,779,481
2014-07-08T00:00:00.000Z,844,518
2014-07-10T00:00:00.000Z,888,539
2014-07-17T00:00:00.000Z,982,613
2014-07-19T00:00:00.000Z,1048,632
2014-07-24T00:00:00.000Z,1093,660
2014-07-27T00:00:00.000Z,1201,672
2014-07-31T00:00:00.000Z,1322,729
2014-08-04T00:00:00.000Z,1603,887
2014-08-06T00:00:00.000Z,1711,932
2014-08-08T00:00:00.000Z,1779,961
2014-08-11T00:00:00.000Z,1868,1013
2014-08-12T00:00:00.000Z,1975,1069
2014-08-14T00:00:00.000Z,2127,1145
2014-08-19T00:00:00.000Z,2473,1350
2014-08-21T00:00:00.000Z,2615,1427
2014-08-27T00:00:00.000Z,2656,1451
2014-08-28T00:00:00.000Z,3069,1552
2014-08-30T00:00:00.000Z,3070,1552
2014-09-05T00:00:00.000Z,3967,2105
2014-09-09T00:00:00.000Z,4291,2296
2014-09-16T00:00:00.000Z,4985,2461
2014-09-18T00:00:00.000Z,5347,2630
2014-09-20T00:00:00.000Z,5864,2811
2014-09-24T00:00:00.000Z,6263,2917
2014-10-01T00:00:00.000Z,7178,3338
2014-10-03T00:00:00.000Z,7492,3439
2014-10-08T00:00:00.000Z,8034,3865
2014-10-10T00:00:00.000Z,8399,4033
2014-10-15T00:00:00.000Z,8997,4493
2014-10-17T00:00:00.000Z,9216,4555
2014-10-22T00:00:00.000Z,9936,4877
2014-10-25T00:00:00.000Z,10141,4922
2014-10-29T00:00:00.000Z,13703,4920
2014-10-31T00:00:00.000Z,13567,4951
2014-11-05T00:00:00.000Z,13042,4818
2014-11-07T00:00:00.000Z,13268,4960
2014-11-12T00:00:00.000Z,14098,5160
2014-11-14T00:00:00.000Z,14413,5177
2014-11-19T00:00:00.000Z,15145,5420
2014-11-21T00:00:00.000Z,15351,5459
2014-11-26T00:00:00.000Z,15935,5689
2014-12-03T00:00:00.000Z,17145,6070
2014-12-10T00:00:00.000Z,17942,6388
2014-12-17T00:00:00.000Z,18603,6915
